Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-08-02,YESBANK,EQ,63.3,64.0,74.3,64.0,70.8,71.6,70.03,30856711,216104125790000.0,,7887260,0.2556
2005-08-03,YESBANK,EQ,71.6,72.5,72.85,68.15,69.75,69.55,70.73,11393327,80585561980000.0,,2731185,0.2397
2005-08-04,YESBANK,EQ,69.55,70.0,73.7,69.6,71.75,71.7,72.06,8579606,61823947320000.01,,1710590,0.19940000000000002
2005-08-05,YESBANK,EQ,71.7,71.5,72.75,71.0,71.55,71.55,71.76,2616074,18773184195000.0,,890202,0.3403
2005-08-08,YESBANK,EQ,71.55,71.95,72.35,70.45,70.7,70.65,71.13,2154325,15323355085000.0,,1128357,0.5238
2005-08-09,YESBANK,EQ,70.65,70.9,71.15,68.55,70.0,69.7,69.84,1503631,10501541890000.0,,711174,0.473
2005-08-10,YESBANK,EQ,69.7,70.0,73.5,70.0,71.3,71.5,72.03,3291467,23707801345000.0,,910309,0.2766
2005-08-11,YESBANK,EQ,71.5,71.95,72.8,71.2,71.2,71.65,71.96,1786252,12854267015000.0,,913601,0.5115
2005-08-12,YESBANK,EQ,71.65,71.5,71.9,70.5,70.5,70.7,71.11,901987,6414016095000.0,,468778,0.5197
2005-08-16,YESBANK,EQ,70.7,70.9,71.45,69.0,69.4,69.45,70.03,1088402,7621819050000.0,,558153,0.5128
2005-08-17,YESBANK,EQ,69.45,69.4,70.9,68.75,68.9,69.05,69.71,1035964,7221296070000.0,,581606,0.5614
2005-08-18,YESBANK,EQ,69.05,69.7,70.05,68.55,69.0,68.95,69.13,964612,6668318165000.0,,586913,0.6084
2005-08-19,YESBANK,EQ,68.95,69.65,69.65,67.4,67.85,67.9,68.3,814334,5561961420000.0,,539290,0.6622
2005-08-22,YESBANK,EQ,67.9,68.5,68.6,66.25,66.45,66.7,66.93,916142,6131919955000.0,,658468,0.7187
